code,component_name,measurement_unit,FWD,%data,#country
1,Sulphur dioxide (air),μg/m3,yes,16.9,37
3,Strong acidity (air),Μg SO2/m3 ,no,0.5,7
4,Total suspended particulates (aerosol),μg/m3,yes,1.8,18
5,Particulate matter < 10 µm (aerosol),μg/m3,yes,9.3,38
6,Black smoke (air),μg/m3,yes,0.8,15
7,Ozone (air),μg/m3,yes,19.9,37
8,Nitrogen dioxide (air),μg/m3,yes,16.5,37
9,Nitrogen oxides (air),μg NO2/m3,yes,8.4,36
10,Carbon monoxide (air),mg/m3,yes,8.2,36
11,Hydrogen sulphide (air),μg/m3,no,0.0,7
12,Lead (aerosol),μg/m3,yes,0.6,23
13,Mercury (aerosol),ng/m3,yes,0.0,5
14,Cadmium (aerosol),ng/m3,yes,0.4,23
15,Nickel (aerosol),ng/m3,yes,0.3,22
16,Chromium (aerosol),ng/m3,no,0.0,3
17,Manganese (aerosol),ng/m3,no,0.0,3
18,Arsenic (aerosol),ng/m3,yes,0.3,21
19,Carbon disulphide (air),μg/m3,no,0.0,1
20,Benzene (air),μg/m3,yes,1.4,34
21,Toluene (air),μg/m3,no,0.6,21
22,Styrene (air),μg/m3,no,0.0,2
24,1.3 Butadiene (air),μg/m3,no,0.1,6
25,Formaldehyde (air),μg/m3,no,0.0,2
26,Trichloroethylene (air),μg/m3,no,0.0,1
27,Tetrachloroethylene (air),μg/m3,no,0.0,1
30,Polyaromatic hydrocarbons (air+aerosol),ng/m3,no,0.0,1
32,Total non-methane hydrocarbons (air),μg C/m3,no,0.1,6
33,Total volatile organic compounds (air),μg/m3,no,0.1,4
34,Peroxyacetyl nitrate (air),μg/m3,no,0.0,1
35,Ammonia (air),μg/m3,no,0.1,5
36,Wet nitrogen deposition (flux),mg N/m2.m,no,0.0,1
37,Wet sulphur deposition (flux),mg S/m2.m,no,0.0,2
38,Nitrogen monoxide (air),μg/m3,no,7.7,28
39,Hydrogen chloride (air),μg/m3,no,0.0,1
40,Hydrogen fluoride (air),μg/m3,no,0.0,1
41,Methane (air),μg/m3,no,0.1,4
45,Particulate ammonium (aerosol),μg/m3,no,0.0,2
46,Particulate nitrate (aerosol),μg/m3,no,0.0,2
47,Particulate sulphate (aerosol),μg/m3,no,0.0,8
48,Selenium (aerosol),ng/m3,no,0.0,1
49,Vanadium (aerosol),ng/m3,no,0.0,2
51,HC C2-C6(excl. AROM. & CHLH) (air+aerosol),μg/m3,no,0.0,1
63,Zinc (aerosol),ng/m3,no,0.0,3
65,Iron (aerosol),ng/m3,no,0.0,2
67,Total nitrate (air+aerosol),μg N/m3,no,0.0,2
68,Total ammonium (air+aerosol),μg N/m3,no,0.0,2
69,Radioactivity (),,no,0.0,1
73,Copper (aerosol),ng/m3,no,0.0,2
316,i-Hexane (2-methylpentane) (air),μg/m3,no,0.0,8
323,N3methylpentane (air),pptv,no,0.0,1
351,acenaphthene (air+aerosol),ng/m3,no,0.0,4
352,acenaphtylene (air+aerosol),ng/m3,no,0.0,3
380,Benzo(b+j+k)fluoranthenes (air+aerosol),ng/m3,no,0.0,1
381,Benzo(e)pyrene (air+aerosol),ng/m3,no,0.0,1
394,n-Butane (air),μg/m3,no,0.1,8
412,conductivity (precip),uS/cm,no,0.0,1
416,cyclohexane (air),pptv,no,0.0,1
428,Ethane (air),μg/m3,no,0.0,7
430,Ethene (Ethylene) (air),μg/m3,no,0.0,6
431,Ethyl benzene (air),μg/m3,no,0.2,15
432,Ethyne (Acetylene) (air),μg/m3,no,0.0,5
